time,open,high,low,close,volume
2024-01-10 18:00:00,1.09672,1.09699,1.09594,1.09696,2955
2024-01-10 19:00:00,1.09698,1.09709,1.09670,1.09703,2692
2024-01-10 20:00:00,1.09704,1.09729,1.09616,1.09656,4442
2024-01-10 21:00:00,1.09654,1.09730,1.09650,1.09727,1511
2024-01-10 22:00:00,1.09709,1.09734,1.09704,1.09726,807
2024-01-10 23:00:00,1.09736,1.09749,1.09712,1.09742,764
2024-01-11 00:00:00,1.09742,1.09790,1.09730,1.09780,2051
2024-01-11 01:00:00,1.09781,1.09804,1.09752,1.09790,2627
2024-01-11 02:00:00,1.09790,1.09850,1.09770,1.09782,2330
2024-01-11 03:00:00,1.09782,1.09814,1.09772,1.09803,1458
2024-01-11 04:00:00,1.09804,1.09828,1.09777,1.09778,1221
2024-01-11 05:00:00,1.09778,1.09815,1.09758,1.09784,1789
2024-01-11 06:00:00,1.09783,1.09886,1.09746,1.09858,2140
2024-01-11 07:00:00,1.09859,1.09869,1.09774,1.09790,3110
2024-01-11 08:00:00,1.09790,1.09815,1.09718,1.09752,4408
2024-01-11 09:00:00,1.09752,1.09753,1.09590,1.09638,4263
2024-01-11 10:00:00,1.09636,1.09699,1.09587,1.09691,3723
2024-01-11 11:00:00,1.09689,1.09826,1.09677,1.09787,3556
2024-01-11 12:00:00,1.09790,1.09906,1.09763,1.09838,3699
2024-01-11 13:00:00,1.09840,1.09996,1.09356,1.09396,16169
2024-01-11 14:00:00,1.09400,1.09739,1.09315,1.09542,14676
2024-01-11 15:00:00,1.09541,1.09630,1.09303,1.09464,13158
2024-01-11 16:00:00,1.09465,1.09574,1.09366,1.09426,10062
2024-01-11 17:00:00,1.09424,1.09546,1.09415,1.09509,6976
2024-01-11 18:00:00,1.09508,1.09664,1.09498,1.09648,5640
2024-01-11 19:00:00,1.09651,1.09830,1.09650,1.09820,5352
2024-01-11 20:00:00,1.09820,1.09826,1.09562,1.09715,5557
2024-01-11 21:00:00,1.09714,1.09754,1.09702,1.09736,2312
2024-01-11 22:00:00,1.09694,1.09762,1.09694,1.09730,827
2024-01-11 23:00:00,1.09729,1.09828,1.09708,1.09824,1259
2024-01-12 00:00:00,1.09826,1.09848,1.09742,1.09758,2664
2024-01-12 01:00:00,1.09754,1.09844,1.09726,1.09828,2900
2024-01-12 02:00:00,1.09828,1.09854,1.09782,1.09796,2401
2024-01-12 03:00:00,1.09797,1.09830,1.09771,1.09779,1386
2024-01-12 04:00:00,1.09776,1.09776,1.09732,1.09757,1555
2024-01-12 05:00:00,1.09759,1.09804,1.09736,1.09756,1932
2024-01-12 06:00:00,1.09756,1.09788,1.09732,1.09754,1697
2024-01-12 07:00:00,1.09758,1.09779,1.09610,1.09669,4106
2024-01-12 08:00:00,1.09662,1.09830,1.09653,1.09752,5304
2024-01-12 09:00:00,1.09751,1.09800,1.09610,1.09626,4257
2024-01-12 10:00:00,1.09626,1.09642,1.09570,1.09599,3539
2024-01-12 11:00:00,1.09600,1.09622,1.09468,1.09497,3781
2024-01-12 12:00:00,1.09493,1.09520,1.09372,1.09378,4216
2024-01-12 13:00:00,1.09378,1.09698,1.09360,1.09554,11652
2024-01-12 14:00:00,1.09553,1.09850,1.09528,1.09756,10434
2024-01-12 15:00:00,1.09756,1.09870,1.09624,1.09665,9260
2024-01-12 16:00:00,1.09663,1.09740,1.09582,1.09582,7248
2024-01-12 17:00:00,1.09580,1.09590,1.09473,1.09497,4655
2024-01-12 18:00:00,1.09496,1.09597,1.09492,1.09596,3355
2024-01-12 19:00:00,1.09592,1.09636,1.09539,1.09561,3225
